Brightness,Greenness,Wetness,Label
858.2499,-835.4467,320.4247,0
848.7716,-825.1481,327.5998,0
841.8197,-813.3144,315.6588,0
839.3718,-811.7319,311.6296,0
825.0727,-805.9178,312.5166,0
815.6839,-783.8922,308.5358,0
807.0619,-777.3652,299.5477,0
809.4468,-772.0529,306.4307,0
797.2411,-770.0655,301.7418,0
803.2201,-771.0623,294.1985,0
805.2396,-775.8379,306.756,0
794.3372,-767.2689,297.9288,0
798.14,-770.2283,305.2139,0
812.4949,-779.2424,306.4608,0
807.1067,-787.1844,302.0178,0
812.0765,-780.9828,301.1525,0
800.6506,-766.7915,301.843,0
830.9372,-807.8332,314.6039,0
834.2136,-795.8277,314.1498,0
830.8797,-792.1006,309.0243,0
829.1997,-795.6909,314.5923,0
836.715,-806.5952,315.4078,0
848.6676,-818.9476,314.0528,0
851.3774,-819.6267,326.0171,0
856.282,-830.4131,324.9089,0
866.0293,-839.3414,323.2418,0
861.3231,-838.5237,328.4112,0
847.7715,-825.1683,325.191,0
852.7069,-826.1713,321.3167,0
854.5243,-827.61,320.3838,0
832.176,-807.6227,317.1886,0
821.4238,-786.2991,308.2407,0
817.6071,-783.3224,303.8638,0
806.0169,-772.5276,301.0895,0
803.6866,-771.9621,293.8,0
807.4932,-773.39,293.6828,0
802.0009,-769.4925,301.469,0
798.0308,-769.0481,299.0025,0
797.4653,-764.9673,298.3039,0
803.4531,-764.3818,298.8447,0
806.3886,-778.1681,301.3868,0
799.4958,-764.9052,293.9485,0
803.5342,-768.1937,294.0062,0
812.3633,-792.871,303.5436,0
821.2272,-794.4925,311.6348,0
823.4311,-795.1968,304.77,0
820.1664,-794.3492,307.9823,0
836.9704,-809.7801,307.9335,0
846.5498,-816.9194,310.5502,0
858.6028,-829.335,329.2298,0
863.3247,-839.4488,322.7645,0
855.4254,-832.9149,318.6108,0
849.2622,-825.4812,326.6265,0
848.3656,-823.2478,324.5952,0
849.9653,-826.6175,315.337,0
850.3627,-830.3841,315.1267,0
833.9332,-814.0086,318.3451,0
822.5604,-797.4282,307.6107,0
814.2581,-779.8497,302.7852,0
805.0172,-774.6525,303.6471,0
805.4131,-768.8837,290.2207,0
793.9409,-755.9653,288.8143,0
802.2603,-764.7513,298.2151,0
788.9605,-757.5381,290.5245,0
803.101,-772.924,302.9713,0
796.2118,-762.6575,292.4765,0
794.7508,-769.5549,293.898,0
797.2647,-772.6173,293.5761,0
793.0657,-761.3735,291.0751,0
814.5892,-790.5444,306.5254,0
814.1215,-785.3466,300.6207,0
813.5219,-791.5869,304.3675,0
827.2179,-794.2806,313.9117,0
842.6925,-823.0822,315.5112,0
848.5491,-822.3395,316.7517,0
851.6759,-824.4099,322.3545,0
840.7775,-819.7207,306.9373,0
848.0554,-821.1059,317.6108,0
839.571,-815.0403,320.4064,0
835.5965,-808.5293,315.3738,0
843.3859,-815.8179,311.8967,0
831.4999,-809.9597,301.7317,0
826.0656,-804.2222,307.7397,0
820.0416,-798.5599,301.5093,0
820.4401,-790.0236,303.0047,0
812.8808,-785.0859,303.5307,0
811.0171,-778.6969,295.1804,0
798.3419,-763.3513,296.225,0
801.9708,-763.3146,301.9143,0
799.1406,-768.4743,299.4549,0
793.0107,-758.3797,298.0954,0
802.2545,-768.5599,294.9171,0
799.3164,-767.6275,288.0853,0
795.1979,-763.7171,294.0518,0
793.7927,-757.6691,289.0949,0
817.3986,-789.2252,309.1666,0
823.903,-796.911,311.6869,0
825.0331,-806.0302,318.3313,0
821.2043,-795.337,314.9747,0
835.4377,-815.7505,314.9609,0
835.9516,-806.1795,314.7285,0
836.2597,-807.9168,317.5361,0
836.4279,-813.5199,306.5407,0
833.2719,-801.1334,311.0615,0
826.9108,-800.7309,313.6064,0
827.2399,-805.1418,312.0797,0
826.7729,-795.4744,306.1944,0
822.0146,-798.6349,301.8641,0
816.0118,-791.423,302.6621,0
823.7605,-803.2081,304.1017,0
825.4386,-796.7153,306.9474,0
821.2192,-793.4177,309.0449,0
814.4212,-784.715,297.9222,0
808.898,-777.5894,302.7141,0
805.0861,-765.9977,302.7885,0
804.7528,-775.8008,303.9958,0
809.4907,-770.1526,302.5866,0
800.2176,-768.8106,298.3552,0
807.8772,-771.5026,296.2615,0
801.5976,-771.8925,298.483,0
807.0673,-764.7278,293.4569,0
833.1852,-801.1183,319.9248,0
832.8817,-804.9777,313.7674,0
824.6349,-807.6598,321.3287,0
816.3584,-793.044,313.5229,0
819.6469,-793.0717,305.9414,0
819.1442,-790.7128,315.0496,0
819.8886,-792.3277,312.2385,0
832.0824,-803.7105,308.0175,0
817.2613,-786.6855,304.7806,0
820.6977,-797.4788,315.8614,0
819.1283,-795.0071,304.2298,0
817.8813,-792.6148,301.0126,0
812.4389,-787.869,304.3558,0
